config,station_id,station_name,region,n_rows,r2,rmse,mae
B1,28505268571336961948594948504,Phú Thọ đường Hùng Vương - Tp Việt Trì (KK),North,26296,-0.4438,25.24,20.18
B1,28505272740301122608933325208,Đà Nẵng 41 đường Lê Duẩn (KK),Central,22113,-0.3612,21.77,15.17
B1,28560877461938780203765592307,Hà Nội 556 Nguyễn Văn Cừ (KK),North,27159,0.5897,21.41,14.89
B1,28599103930259709512833128161,Quảng Ninh Phường Cẩm Thịnh - Cẩm Phả (KK),North,9022,-0.4785,9.11,6.35
B1,28602837126985114455002404577,Quảng Ninh UBND TP Uông Bí (KK),North,16539,0.0614,8.87,6.18
B1,28602897318711027016899843809,Quảng Ninh Nhà máy tuyển than Nam Cầu Trắng - Hạ Long (KK),North,17893,0.1467,7.06,5.42
B1,28916504310234840885489983032,Bắc Ninh Khu liên cơ Thuận Thành - thị trấn Hồ (KK),North,19801,-0.3357,28.48,20.5
B1,28916774462801800655608897080,Bắc Ninh UBND xã Xuân Lâm - Thuận Thành (KK),North,13609,-0.0285,46.08,29.05
B1,29098314940209976158571475636,"Trà Vinh xã Dân Thành, TX Duyên Hải (KK)",South,27858,-0.0526,6.59,3.98
B1,29098319146067624969113973428,"Trà Vinh xã Đông Hải, huyện Duyên Hải (KK)",South,16496,-1.5549,7.94,6.28
B1,29196010501691076420299004774,Bắc Ninh TT Quan trắc - phường Suối Hoa - TP Bắc Ninh (KK),North,12513,-0.2515,23.97,15.03
B1,29196021237696127337075448678,Bắc Ninh UBND xã Cao Đức - Gia Bình (KK),North,17547,-0.186,21.34,16.24
B1,29203727697074312726675247132,"Thái Bình xã Thái Thọ, huyện Thái Thụy (KK)",North,21093,-0.1226,21.73,12.49
B1,29518839738601389925132404147,"Quảng Ninh Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",North,17297,-0.6991,9.51,8.39
B1,29518852005686198968139908531,Quảng Ninh Gần KCN Cái Lân (KK),North,14579,-0.0728,9.27,4.7
B1,29518872592252585279589451187,Quảng Ninh Km11 - Minh Thành (KK),North,16394,0.3115,10.59,6.44
B1,29518885338952740244749551027,Quảng Ninh Nhuệ Hổ - Đông Triều (KK),North,15122,-0.6345,10.63,8.11
B1,29544533341424688633522251105,Gia Lai KCN Trà Đa - Tp Pleiku (KK),Central,17840,-0.0273,13.78,8.89
B1,29996239538320865599553202177,Tây Ninh Thị xã Trảng Bàng (KK),South,21029,-0.4196,10.7,7.66
